SimTime;n0x;n0y;n0z;n1x;n1y;n1z;n2x;n2y;n2z
0;1000;1000;0;889;678;0;944.5;839;0
1;1000;1000;0;889;678;0;944.5;839;0
2;1000;1000;0;889;678;0;944.5;839;0
3;1000;1000;0;889;678;0;944.5;839;0
4;1000;1000;0;889;678;0;944.5;839;0
5;1000;1000;0;889;678;0;944.5;839;0
6;1000;1000;0;886.048;669.524;0.047619;941.869;831.445;0
7;1000;1000;0;883.095;661.048;0.0952381;939.237;823.89;0
8;1000;1000;0;880.143;652.571;0.142857;936.606;816.336;0
9;1000;1000;0;877.19;644.095;0.190476;933.974;808.781;0
10;1000;1000;0;874.238;635.619;0.238095;931.343;801.226;0
11;1000;1000;0;871.286;627.143;0.285714;928.711;793.671;0
12;1000;1000;0;868.333;618.667;0.333333;926.08;786.116;0
13;1000;1000;0;865.381;610.19;0.380952;923.448;778.561;0
14;1000;1000;0;862.429;601.714;0.428571;920.817;771.007;0
15;1000;1000;0;859.476;593.238;0.47619;918.185;763.452;0
16;1000;1000;0;856.524;584.762;0.52381;915.554;755.897;0
17;1000;1000;0;853.571;576.286;0.571429;914;751;1
18;1000;1000;0;850.619;567.81;0.619048;914;751;1
19;1000;1000;0;847.667;559.333;0.666667;914;751;1
20;1000;1000;0;844.714;550.857;0.714286;914;751;1
21;1000;1000;0;841.762;542.381;0.761905;914;751;1
22;1000;1000;0;838.81;533.905;0.809524;914;751;1
23;1000;1000;0;835.857;525.429;0.857143;914;751;1
24;1000;1000;0;832.905;516.952;0.904762;914;751;1
25;1000;1000;0;829.952;508.476;0.952381;914;751;1
26;1000;1000;0;828;501;1;914;751;1
27;1000;1000;0;828;501;1;914;751;1
28;1000;1000;0;828;501;1;914;751;1
29;1000;1000;0;828;501;1;914;751;1
