WiFiManager: Ideal
Time(s),Node0_x,Node0_y,Node1_x,Node1_y,Distance(m),Throughput(Mbps),RxPkts,LostPkts
1,0.00,0.00,5.00,0.00,5.00,0.000000,0,0
2,0.00,0.00,6.00,0.00,6.00,99.721216,12173,0
3,0.00,0.00,7.00,0.00,7.00,99.999744,12207,0
4,0.00,0.00,8.00,0.00,8.00,99.999744,12207,0
5,0.00,0.00,9.00,0.00,9.00,99.999744,12207,0
6,0.00,0.00,10.00,0.00,10.00,99.999744,12207,0
7,0.00,0.00,11.00,0.00,11.00,100.007936,12208,0
8,0.00,0.00,12.00,0.00,12.00,99.999744,12207,0
9,0.00,0.00,13.00,0.00,13.00,99.999744,12207,0
10,0.00,0.00,14.00,0.00,14.00,99.983360,12205,0
11,0.00,0.00,15.00,0.00,15.00,100.016128,12209,0
12,0.00,0.00,16.00,0.00,16.00,99.999744,12207,30
13,0.00,0.00,17.00,0.00,17.00,99.991552,12206,0
14,0.00,0.00,18.00,0.00,18.00,99.999744,12207,0
15,0.00,0.00,19.00,0.00,19.00,99.991552,12206,0
16,0.00,0.00,20.00,0.00,20.00,99.991552,12206,0
17,0.00,0.00,21.00,0.00,21.00,100.007936,12208,0
18,0.00,0.00,22.00,0.00,22.00,99.999744,12207,0
19,0.00,0.00,23.00,0.00,23.00,99.983360,12205,0
20,0.00,0.00,24.00,0.00,24.00,100.016128,12209,0
21,0.00,0.00,25.00,0.00,25.00,99.991552,12206,0
22,0.00,0.00,26.00,0.00,26.00,99.999744,12207,0
23,0.00,0.00,27.00,0.00,27.00,100.016128,12209,0
24,0.00,0.00,28.00,0.00,28.00,99.868672,12191,0
25,0.00,0.00,29.00,0.00,29.00,99.983360,12205,0
26,0.00,0.00,30.00,0.00,30.00,100.007936,12208,0
27,0.00,0.00,31.00,0.00,31.00,100.016128,12209,0
28,0.00,0.00,32.00,0.00,32.00,99.991552,12206,0
29,0.00,0.00,33.00,0.00,33.00,99.983360,12205,0
30,0.00,0.00,34.00,0.00,34.00,99.999744,12207,0
31,0.00,0.00,35.00,0.00,35.00,100.016128,12209,0
32,0.00,0.00,36.00,0.00,36.00,93.380608,11399,1
33,0.00,0.00,37.00,0.00,37.00,82.362368,10054,34
34,0.00,0.00,38.00,0.00,38.00,82.296832,10046,84
35,0.00,0.00,39.00,0.00,39.00,82.337792,10051,135
36,0.00,0.00,40.00,0.00,40.00,82.321408,10049,184
37,0.00,0.00,41.00,0.00,41.00,82.354176,10053,484
38,0.00,0.00,42.00,0.00,42.00,82.337792,10051,2158
39,0.00,0.00,43.00,0.00,43.00,82.370560,10055,2147
40,0.00,0.00,44.00,0.00,44.00,82.223104,10037,2173
41,0.00,0.00,45.00,0.00,45.00,82.231296,10038,2170
42,0.00,0.00,46.00,0.00,46.00,82.001920,10010,2194
43,0.00,0.00,47.00,0.00,47.00,68.722688,8389,3802
44,0.00,0.00,48.00,0.00,48.00,54.870016,6698,5508
45,0.00,0.00,49.00,0.00,49.00,54.919168,6704,5493
46,0.00,0.00,50.00,0.00,50.00,54.853632,6696,5518
47,0.00,0.00,51.00,0.00,51.00,24.969216,3048,8629
48,0.00,0.00,52.00,0.00,52.00,0.000000,0,11207
49,0.00,0.00,53.00,0.00,53.00,0.000000,0,11207
50,0.00,0.00,54.00,0.00,54.00,0.000000,0,11207
51,0.00,0.00,55.00,0.00,55.00,0.000000,0,11207
52,0.00,0.00,56.00,0.00,56.00,0.000000,0,11207
53,0.00,0.00,57.00,0.00,57.00,0.000000,0,11207
54,0.00,0.00,58.00,0.00,58.00,0.000000,0,11207
55,0.00,0.00,59.00,0.00,59.00,0.000000,0,11214
56,0.00,0.00,60.00,0.00,60.00,0.000000,0,15255
57,0.00,0.00,61.00,0.00,61.00,0.000000,0,13486
58,0.00,0.00,62.00,0.00,62.00,0.000000,0,11969
59,0.00,0.00,63.00,0.00,63.00,0.000000,0,12112
60,0.00,0.00,64.00,0.00,64.00,0.000000,0,2387
