WiFiManager: MinstrelHt
Time(s),Node0_x,Node0_y,Node1_x,Node1_y,Distance(m),Throughput(Mbps),RxPkts,LostPkts
1,0.00,0.00,5.00,0.00,5.00,0.000000,0,0
2,0.00,0.00,6.00,0.00,6.00,99.205120,12110,0
3,0.00,0.00,7.00,0.00,7.00,100.016128,12209,0
4,0.00,0.00,8.00,0.00,8.00,99.999744,12207,0
5,0.00,0.00,9.00,0.00,9.00,99.999744,12207,0
6,0.00,0.00,10.00,0.00,10.00,99.983360,12205,0
7,0.00,0.00,11.00,0.00,11.00,99.966976,12203,0
8,0.00,0.00,12.00,0.00,12.00,100.032512,12211,0
9,0.00,0.00,13.00,0.00,13.00,100.016128,12209,0
10,0.00,0.00,14.00,0.00,14.00,99.966976,12203,0
11,0.00,0.00,15.00,0.00,15.00,100.032512,12211,0
12,0.00,0.00,16.00,0.00,16.00,99.999744,12207,92
13,0.00,0.00,17.00,0.00,17.00,99.991552,12206,0
14,0.00,0.00,18.00,0.00,18.00,99.893248,12194,0
15,0.00,0.00,19.00,0.00,19.00,100.098048,12219,0
16,0.00,0.00,20.00,0.00,20.00,99.860480,12190,0
17,0.00,0.00,21.00,0.00,21.00,100.081664,12217,0
18,0.00,0.00,22.00,0.00,22.00,99.917824,12197,0
19,0.00,0.00,23.00,0.00,23.00,99.999744,12207,0
20,0.00,0.00,24.00,0.00,24.00,100.016128,12209,0
21,0.00,0.00,25.00,0.00,25.00,99.991552,12206,0
22,0.00,0.00,26.00,0.00,26.00,100.024320,12210,0
23,0.00,0.00,27.00,0.00,27.00,99.966976,12203,0
24,0.00,0.00,28.00,0.00,28.00,99.999744,12207,0
25,0.00,0.00,29.00,0.00,29.00,99.868672,12191,0
26,0.00,0.00,30.00,0.00,30.00,100.147200,12225,0
27,0.00,0.00,31.00,0.00,31.00,99.999744,12207,0
28,0.00,0.00,32.00,0.00,32.00,99.958784,12202,0
29,0.00,0.00,33.00,0.00,33.00,99.803136,12183,0
30,0.00,0.00,34.00,0.00,34.00,100.212736,12233,0
31,0.00,0.00,35.00,0.00,35.00,99.844096,12188,0
32,0.00,0.00,36.00,0.00,36.00,100.122624,12222,0
33,0.00,0.00,37.00,0.00,37.00,99.860480,12190,0
34,0.00,0.00,38.00,0.00,38.00,99.024896,12088,0
35,0.00,0.00,39.00,0.00,39.00,89.849856,10968,5
36,0.00,0.00,40.00,0.00,40.00,73.121792,8926,49
37,0.00,0.00,41.00,0.00,41.00,56.352768,6879,99
38,0.00,0.00,42.00,0.00,42.00,54.353920,6635,4719
39,0.00,0.00,43.00,0.00,43.00,54.362112,6636,5575
40,0.00,0.00,44.00,0.00,44.00,54.829056,6693,5518
41,0.00,0.00,45.00,0.00,45.00,54.272000,6625,5572
42,0.00,0.00,46.00,0.00,46.00,54.960128,6709,5505
43,0.00,0.00,47.00,0.00,47.00,54.460416,6648,5551
44,0.00,0.00,48.00,0.00,48.00,54.272000,6625,5583
45,0.00,0.00,49.00,0.00,49.00,54.681600,6675,5533
46,0.00,0.00,50.00,0.00,50.00,54.059008,6599,5610
47,0.00,0.00,51.00,0.00,51.00,25.206784,3077,8638
48,0.00,0.00,52.00,0.00,52.00,0.000000,0,11207
49,0.00,0.00,53.00,0.00,53.00,0.000000,0,11207
50,0.00,0.00,54.00,0.00,54.00,0.000000,0,11207
51,0.00,0.00,55.00,0.00,55.00,0.000000,0,11207
52,0.00,0.00,56.00,0.00,56.00,0.000000,0,11207
53,0.00,0.00,57.00,0.00,57.00,0.000000,0,11207
54,0.00,0.00,58.00,0.00,58.00,0.000000,0,11207
55,0.00,0.00,59.00,0.00,59.00,0.000000,0,11445
56,0.00,0.00,60.00,0.00,60.00,0.000000,0,15432
57,0.00,0.00,61.00,0.00,61.00,0.000000,0,13359
58,0.00,0.00,62.00,0.00,62.00,0.000000,0,12055
59,0.00,0.00,63.00,0.00,63.00,0.000000,0,12207
60,0.00,0.00,64.00,0.00,64.00,0.000000,0,2018
