WiFiManager: ThompsonSampling
Time(s),Node0_x,Node0_y,Node1_x,Node1_y,Distance(m),Throughput(Mbps),RxPkts,LostPkts
1,0.00,0.00,5.00,0.00,5.00,0.000000,0,0
2,0.00,0.00,6.00,0.00,6.00,99.729408,12174,0
3,0.00,0.00,7.00,0.00,7.00,99.999744,12207,0
4,0.00,0.00,8.00,0.00,8.00,99.999744,12207,0
5,0.00,0.00,9.00,0.00,9.00,99.991552,12206,0
6,0.00,0.00,10.00,0.00,10.00,100.007936,12208,0
7,0.00,0.00,11.00,0.00,11.00,99.991552,12206,0
8,0.00,0.00,12.00,0.00,12.00,100.016128,12209,0
9,0.00,0.00,13.00,0.00,13.00,99.401728,12134,0
10,0.00,0.00,14.00,0.00,14.00,100.589568,12279,0
11,0.00,0.00,15.00,0.00,15.00,99.983360,12205,0
12,0.00,0.00,16.00,0.00,16.00,100.007936,12208,30
13,0.00,0.00,17.00,0.00,17.00,99.991552,12206,0
14,0.00,0.00,18.00,0.00,18.00,100.007936,12208,0
15,0.00,0.00,19.00,0.00,19.00,99.999744,12207,0
16,0.00,0.00,20.00,0.00,20.00,99.999744,12207,0
17,0.00,0.00,21.00,0.00,21.00,99.999744,12207,0
18,0.00,0.00,22.00,0.00,22.00,99.966976,12203,0
19,0.00,0.00,23.00,0.00,23.00,100.016128,12209,0
20,0.00,0.00,24.00,0.00,24.00,99.991552,12206,0
21,0.00,0.00,25.00,0.00,25.00,99.934208,12199,0
22,0.00,0.00,26.00,0.00,26.00,100.073472,12216,0
23,0.00,0.00,27.00,0.00,27.00,99.999744,12207,0
24,0.00,0.00,28.00,0.00,28.00,100.007936,12208,0
25,0.00,0.00,29.00,0.00,29.00,99.991552,12206,0
26,0.00,0.00,30.00,0.00,30.00,99.876864,12192,0
27,0.00,0.00,31.00,0.00,31.00,98.230272,11991,0
28,0.00,0.00,32.00,0.00,32.00,77.955072,9516,16
29,0.00,0.00,33.00,0.00,33.00,102.703104,12537,65
30,0.00,0.00,34.00,0.00,34.00,101.769216,12423,115
31,0.00,0.00,35.00,0.00,35.00,96.485376,11778,165
32,0.00,0.00,36.00,0.00,36.00,101.105664,12342,215
33,0.00,0.00,37.00,0.00,37.00,93.143040,11370,265
34,0.00,0.00,38.00,0.00,38.00,89.612288,10939,313
35,0.00,0.00,39.00,0.00,39.00,78.675968,9604,367
36,0.00,0.00,40.00,0.00,40.00,66.215936,8083,416
37,0.00,0.00,41.00,0.00,41.00,75.685888,9239,1849
38,0.00,0.00,42.00,0.00,42.00,75.284480,9190,3023
39,0.00,0.00,43.00,0.00,43.00,74.612736,9108,3094
40,0.00,0.00,44.00,0.00,44.00,75.120640,9170,3041
41,0.00,0.00,45.00,0.00,45.00,69.918720,8535,3627
42,0.00,0.00,46.00,0.00,46.00,74.727424,9122,3127
43,0.00,0.00,47.00,0.00,47.00,72.654848,8869,3332
44,0.00,0.00,48.00,0.00,48.00,69.402624,8472,3694
45,0.00,0.00,49.00,0.00,49.00,67.706880,8265,3925
46,0.00,0.00,50.00,0.00,50.00,61.472768,7504,4700
47,0.00,0.00,51.00,0.00,51.00,25.214976,3078,8560
48,0.00,0.00,52.00,0.00,52.00,0.000000,0,11207
49,0.00,0.00,53.00,0.00,53.00,0.000000,0,11207
50,0.00,0.00,54.00,0.00,54.00,0.000000,0,11207
51,0.00,0.00,55.00,0.00,55.00,0.000000,0,11207
52,0.00,0.00,56.00,0.00,56.00,0.000000,0,11207
53,0.00,0.00,57.00,0.00,57.00,0.000000,0,11207
54,0.00,0.00,58.00,0.00,58.00,0.000000,0,11207
55,0.00,0.00,59.00,0.00,59.00,0.000000,0,11207
56,0.00,0.00,60.00,0.00,60.00,0.000000,0,14852
57,0.00,0.00,61.00,0.00,61.00,0.000000,0,13355
58,0.00,0.00,62.00,0.00,62.00,0.000000,0,12017
59,0.00,0.00,63.00,0.00,63.00,0.000000,0,12189
60,0.00,0.00,64.00,0.00,64.00,0.000000,0,2618
